,idx,platform,head,review,description,image,url,course
285,285,coursera,Meta Front-End Developer,23K reviews,"Skills you'll gain: Jest (JavaScript Testing Framework), Version Control, UI/UX Research, Usability Testing, Responsive Web Design, Data Structures, Unix Commands, HTML and CSS, Git (Version Control System), Persona (User Experience), GitHub, Interaction Design, Bootstrap (Front-End Framework), React.js, Mobile Development, Front-End Web Development, Algorithms, Web Development Tools, Javascript, Cascading Style Sheets (CSS)",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/8a/9a826c8e0648ada8b65ddba129e4ab/Meta-Front-End-Developer.png?auto=format%2C%20compress%2C%20enhance&dpr=1&w=320&h=180&q=50&fit=crop,https://www.coursera.org/professional-certificates/meta-front-end-developer,Mobile App Development
586,586,simplilearn,PMP® Plus,4.5 (69614),"Website Creation,Behavioral Marketing,Keyword Research,,,,,,,,,,,",https://www.simplilearn.com/ice9/accreditation_images/Category_Logos/PMI_48px.svgz,https://www.simplilearn.com/pmp-plus-bundle-masters-program?tag=Video%20Content%20Creation,Video Content Creation
647,647,edx,Design and innovation of business model,TecdeMonterreyX,,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2Fceb9644c-f8dd-4522-9acd-adb33cbb9b4b-e8152bc6676b.png&w=256&q=75,https://www.edx.org/learn/business-model/tecnologico-de-monterrey-design-and-innovation-of-business-model?index=product&queryId=1e0c83d213f2cca4fd6326d815976f54&position=19,Graphic Design
896,896,learnvern,Python Programming with Hands on Practicals in Tamil,9686,,https://assets.learnvern.com/course/icons/60447.svg,https://www.learnvern.com/core-python-programming-tutorial-in-tamil,Adaptability and Resilience
286,286,coursera,Introduction to Software Engineering,3.6K reviews,"Skills you'll gain: Software Development Life Cycle, Software Architecture, Development Environment, Engineering Software, Software Design, Software Development Tools, Software Engineering, Program Development, Systems Development, Software Documentation, Software Design Patterns, Software Development Methodologies, Unified Modeling Language, Integrated Development Environments, Programming Principles, Application Development, Agile Methodology, Python Programming",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/19/c88bc089344a4492577b40f2ac5c00/Introduction-to-Software-Engineering--Final-image.jpg?auto=format%2C%20compress%2C%20enhance&dpr=1&w=320&h=180&q=50&fit=crop,https://www.coursera.org/learn/introduction-to-software-engineering,Mobile App Development
587,587,simplilearn,Azure DevOps Solutions Expert Masters Program,4.6 (12093),"Website Creation,Behavioral Marketing,Keyword Research,,,,,,,,,,,",https://www.simplilearn.com/ice9/accreditation_icons/new_design/Microsoft-Logo-23%20(3).png,https://www.simplilearn.com/azure-devops-solutions-expert-masters-program?tag=Video%20Content%20Creation,Video Content Creation
648,648,edx,"Innovations in Textile Engineering: Fibers, Yarns, Nonwovens, & More",MITx,,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2F2a73d2ce-c34a-4e08-8223-83bca9d2f01d-d4f180052205.png&w=256&q=75,https://www.edx.org/learn/engineering/massachusetts-institute-of-technology-fiber-and-textile-engineering?index=product&queryId=1e0c83d213f2cca4fd6326d815976f54&position=20,Graphic Design
897,897,learnvern,Maya Dynamics And Particles Tutorial,3172,,https://assets.learnvern.com/course/icons/43299.svg,https://www.learnvern.com/maya-dynamics-tutorial,Adaptability and Resilience
287,287,coursera,Introduction to Android Mobile Application Development,1.5K reviews,"Skills you'll gain: Android Studio, Android Development, Android (Operating System), Mobile Development, Gradle, Application Development, Integrated Development Environments, Development Environment, Virtual Environment, Extensible Markup Language (XML), UI Components",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/3e/897594b52e4058a599baa12e530b06/Android-dev1.jpg?auto=format%2C%20compress%2C%20enhance&dpr=1&w=320&h=180&q=50&fit=crop,https://www.coursera.org/learn/introduction-to-android-mobile-application-development,Mobile App Development
588,588,simplilearn,Data Scientist,4.6 (101603),"Website Creation,Behavioral Marketing,Keyword Research,,,,,,,,,,,",https://www.simplilearn.com/ice9/accreditation_icons/IBM_logo%20(1).svgz,https://www.simplilearn.com/big-data-and-analytics/senior-data-scientist-masters-program-training?tag=Video%20Content%20Creation,Video Content Creation
649,649,edx,Science in Art: The Chemistry of Art Materials and Conservation,TrinityX,,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2Ff6eddff7-8373-4fbe-bdcf-52014c1e8a16-ca25ad8e621c.png&w=256&q=75,https://www.edx.org/learn/arts-humanities/trinity-college-science-in-art-the-chemistry-of-art-materials-and-conservation?index=product&queryId=1e0c83d213f2cca4fd6326d815976f54&position=21,Graphic Design
898,898,learnvern,Web Designing with HTML and HTML5 Course in English,14259,,https://assets.learnvern.com/course/icons/46479.svg,https://www.learnvern.com/html5-tutorial,Adaptability and Resilience
288,288,coursera,Business Foundations,26K reviews,"Skills you'll gain: Operations Management, Return On Investment, Operational Efficiency, Financial Statements, Financial Statement Analysis, Finance, Human Capital, Go To Market Strategy, Process Analysis, Branding, Process Management, People Management, Financial Reporting, Capital Budgeting, Financial Accounting, Financial Modeling, Marketing, Marketing Planning, Peer Review, Corporate Finance",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d396qusza40orc.cloudfront.net/phoenixassets/wharton-business-foundations/wharton-business-foundations-logo.jpg?auto=format%2C%20compress%2C%20enhance&dpr=1&w=320&h=180&q=50&fit=crop,https://www.coursera.org/specializations/wharton-business-foundations,Mobile App Development
589,589,simplilearn,Tableau Desktop Specialist Certification Training,4.6 (19555),"Data Integration,Data Organization,Exploratory Data Analysis,,,,",https://www.simplilearn.com/ice9/accreditation_icons/Tableaue%20(1).svgz,https://www.simplilearn.com/tableau-training-and-data-visualization-course?tag=Video%20Content%20Creation,Video Content Creation
650,650,edx,Beyond Systems Thinking,ETHx,,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogo_override%2F75d7310c-9288-4811-8c55-e085ea00ce28-fb7c65c148ff.jpeg&w=256&q=75,https://www.edx.org/learn/social-science/eth-zurich-beyond-systems-thinking-2?index=product&queryId=1e0c83d213f2cca4fd6326d815976f54&position=22,Graphic Design
899,899,learnvern,Bootstrap - Complete Hands on Course,7155,,https://assets.learnvern.com/course/icons/48277.svg,https://www.learnvern.com/bootstrap-tutorial,Adaptability and Resilience
289,289,coursera,Meta iOS Developer,8.2K reviews,"Skills you'll gain: React Native, iOS Development, Core Data (Software), Restful API, Version Control, Apple iOS, UI/UX Research, Usability Testing, Apple Xcode, Data Structures, Swift Programming, Jest (JavaScript Testing Framework), User Interface (UI), Unix Commands, Git (Version Control System), Persona (User Experience), GitHub, Interaction Design, Mobile Development, Javascript",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/4b/90dd15592e4db788410bc928b93e52/iOS-dev-ProCert.jpg?auto=format%2C%20compress%2C%20enhance&dpr=1&w=320&h=180&q=50&fit=crop,https://www.coursera.org/professional-certificates/meta-ios-developer,Mobile App Development
590,590,simplilearn,Data Analyst,4.6 (55240),"Website Creation,Behavioral Marketing,Keyword Research,,,,,,,,,,,",https://www.simplilearn.com/ice9/accreditation_icons/IBM_logo%20(1).svgz,https://www.simplilearn.com/data-analyst-masters-certification-training-course?tag=Video%20Content%20Creation,Video Content Creation
