,Heading,Revewe,Description,URL,image
30,Supervised Machine Learning: Regression and Classification,29K reviews,"Skills you'll gain: Supervised Learning, Jupyter, Scikit Learn (Machine Learning Library), Machine Learning, NumPy, Predictive Modeling, Feature Engineering, Artificial Intelligence, Classification And Regression Tree (CART), Python Programming, Regression Analysis, Unsupervised Learning, Statistical Modeling",https://www.coursera.org/learn/machine-learning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/9c/90ae67ecdb4185a4ae79ec9a5ae0b6/Course-Logo--1.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265
31,Finance & Quantitative Modeling for Analysts,17K reviews,"Skills you'll gain: Return On Investment, Financial Reporting, Capital Budgeting, Financial Statements, Financial Modeling, Mathematical Modeling, Statistical Modeling, Regression Analysis, Business Modeling, Income Statement, Financial Analysis, Risk Analysis, Cash Flows, Business Mathematics, Financial Planning, Corporate Finance, Predictive Analytics, Spreadsheet Software, Google Sheets, Microsoft Excel",https://www.coursera.org/specializations/finance-quantitative-modeling-analysts,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/28/3d88b3745e4072901d6db7fb8d2f9c/financeModeling_specialization_coursera.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265
32,Foundations of Project Management,95K reviews,"Skills you'll gain: Project Management Life Cycle, Change Management, Organizational Structure, Project Management, Organizational Change, Program Management, Project Closure, Agile Methodology, Project Planning, Waterfall Methodology, Strategic Thinking",https://www.coursera.org/learn/project-management-foundations,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/33/56fa78ec0542f19eaa977b8854c833/coursera2.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=320
33,"Foundations: Data, Data, Everywhere",116K reviews,"Skills you'll gain: Data Ethics, Data Analysis, Data-Driven Decision-Making, Google Sheets, Spreadsheet Software, Analytical Skills, Data Sharing, Data Cleansing, Data Processing, Data Visualization Software, Data Visualization, SQL, Data Management",https://www.coursera.org/learn/foundations-data,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/f0/0de6bb70944a20bdfe0b8b4301b91e/Foundations-Data-Data-Everywhere.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=320
34,Meta Full-Stack Developer,24K reviews,"Skills you'll gain: Jest (JavaScript Testing Framework), Django (Web Framework), Version Control, Restful API, Responsive Web Design, Unix Commands, HTML and CSS, Git (Version Control System), GitHub, Relational Databases, Object Oriented Programming (OOP), Database Management Systems, Bootstrap (Front-End Framework), React.js, Mobile Development, SQL, Database Design, API Design, Linux Commands, Python Programming",https://www.coursera.org/specializations/meta-full-stack-developer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/63/68ee51e0794b56930866bfbfee37ba/Meta-Full-Stack-Developer.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265
35,Meta Front-End Developer,23K reviews,"Skills you'll gain: Jest (JavaScript Testing Framework), Version Control, UI/UX Research, Usability Testing, Responsive Web Design, Data Structures, Unix Commands, HTML and CSS, Git (Version Control System), Persona (User Experience), GitHub, Interaction Design, User Experience Design, Bootstrap (Front-End Framework), React.js, Mobile Development, Front-End Web Development, Algorithms, Javascript, Cascading Style Sheets (CSS)",https://www.coursera.org/professional-certificates/meta-front-end-developer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/8a/9a826c8e0648ada8b65ddba129e4ab/Meta-Front-End-Developer.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265
36,IBM Data Management,17K reviews,"Skills you'll gain: Dashboard, Data Storytelling, Data Warehousing, SQL, Data Governance, Data Visualization, Data Security, Data Migration, Database Design, Data Literacy, MySQL, Descriptive Statistics, Extract, Transform, Load, Data Store, Data Management, Relational Databases, Databases, Data Architecture, Excel Formulas, Business Intelligence",https://www.coursera.org/professional-certificates/ibm-data-manager,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/f2/8be4440e81461196e43313582cffec/600x600px_1014601899.jpg?auto=format%2C%20compress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop
37,IBM Business Analyst,13K reviews,"Skills you'll gain: Data Storytelling, Requirements Elicitation, Risk Mitigation, Business Analysis, Business Process Modeling, Risk Analysis, Project Scoping, Process Optimization, Data Visualization, Requirements Management, Prompt Engineering, Risk Management, Business Requirements, Stakeholder Management, Work Breakdown Structure, Stakeholder Engagement, Excel Formulas, Microsoft Excel, Business Analytics, Analysis",https://www.coursera.org/professional-certificates/ibm-business-analyst-professional-certificate,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/d7/1b7897a722471f9f59b99b053bf063/BA_PC_Final-Logo-Image_600x600pxl-copy.jpg?auto=format%2C%20compress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50
38,Generative AI for Data Analysts,7.4K reviews,"Skills you'll gain: Prompt Engineering, Generative AI, ChatGPT, Data Storytelling, OpenAI, Analytics, Data Analysis, Artificial Intelligence and Machine Learning (AI/ML), Dashboard, Large Language Modeling, Data Ethics, Artificial Intelligence, Program Development, Data Visualization Software, SQL, Python Programming, Query Languages, Content Creation, IBM Cloud, Image Analysis",https://www.coursera.org/specializations/generative-ai-for-data-analysts,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/da/afaeec89cd47d291358d162606657f/Image-Data-Analytics.jpg?auto=format%2C%20compress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50
39,IBM Full-Stack JavaScript Developer,7.6K reviews,"Skills you'll gain: Istio, Node.JS, Software Development Life Cycle, Software Architecture, Server Side, MongoDB, Application Deployment, CI/CD, Cloud-Native Computing, React Redux, NoSQL, Kubernetes, Restful API, OpenShift, Git (Version Control System), Cascading Style Sheets (CSS), Ajax, Javascript, Azure DevOps, Interviewing Skills",https://www.coursera.org/professional-certificates/ibm-full-stack-javascript-developer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/2c/c9b36e0de04147b43661ee0655561f/Image-JS-Full-Stack.jpg?auto=format%2C%20compress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50
